,CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
5104551,THORPE SOLUTIONS CONSTRUCTION LTD,09289784,,,6A STATION ROAD,ECKINGTON,SHEFFIELD,,,S21 4FX,Private Limited Company,Active,United Kingdom,,31/10/2014,31.0,10.0,31/07/2025,31/10/2023,MICRO ENTITY,28/11/2016,31/10/2015,0,0,0,0,43390 - Other building completion and finishing,,,,0,0,http://business.data.gov.uk/id/company/09289784,,,,,,,,,,,,,,,,,,,,,14/11/2025,31/10/2024
5104553,THORPE SOLUTIONS PROPERTIES LTD,12422923,,,6A STATION ROAD,ECKINGTON,SHEFFIELD,,UNITED KINGDOM,S21 4FX,Private Limited Company,Active,United Kingdom,,24/01/2020,31.0,1.0,31/10/2025,31/01/2024,MICRO ENTITY,21/02/2021,,2,2,0,0,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/12422923,,,,,,,,,,,,,,,,,,,,,27/02/2025,13/02/2024
5104629,THORPLAS CONSULTANCY LTD,14691797,,,GIBRALTAR HOUSE,BRADFIELD,SHEFFIELD,,ENGLAND,S6 6HY,Private Limited Company,Active,United Kingdom,,27/02/2023,31.0,7.0,30/04/2026,31/07/2024,MICRO ENTITY,26/03/2024,,0,0,0,0,71122 - Engineering related scientific and technical consulting activities,,,,0,0,http://business.data.gov.uk/id/company/14691797,,,,,,,,,,,,,,,,,,,,,12/03/2025,26/02/2024
5104722,THOS. C. WILD LIMITED,05516830,,,VULCAN WORKS,TINSLEY PARK ROAD,SHEFFIELD,SOUTH YORKSHIRE,,S9 5DP,Private Limited Company,Active,United Kingdom,,22/07/2005,31.0,8.0,31/05/2026,31/08/2024,TOTAL EXEMPTION FULL,19/08/2016,22/07/2015,17,10,0,7,"25500 - Forging, pressing, stamping and roll-forming of metal; powder metallurgy",,,,0,0,http://business.data.gov.uk/id/company/05516830,02/10/2007,PROJECT WILD CAT LIMITED,,,,,,,,,,,,,,,,,,,21/06/2025,07/06/2024
5104816,THOU ART MODIFIED LTD,11708354,,,47 CHAPEL WALKS,,SHEFFIELD,,ENGLAND,S1 2PD,Private Limited Company,Active,United Kingdom,,03/12/2018,31.0,12.0,30/09/2025,31/12/2023,MICRO ENTITY,31/12/2019,,0,0,0,0,96090 - Other service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/11708354,,,,,,,,,,,,,,,,,,,,,07/05/2025,23/04/2024
5105227,THQ AUTO TRADERS LIMITED,15966759,,,13 THE OVAL,,SHEFFIELD,,ENGLAND,S5 6SL,Private Limited Company,Active,United Kingdom,,19/09/2024,30.0,9.0,19/06/2026,,NO ACCOUNTS FILED,17/10/2025,,0,0,0,0,45112 - Sale of used cars and light motor vehicles,,,,0,0,http://business.data.gov.uk/id/company/15966759,,,,,,,,,,,,,,,,,,,,,02/10/2025,
5105239,THQ REAL ESTATE LTD,15253503,,,13A MIDDLEWOOD ROAD,,SHEFFIELD,,ENGLAND,S6 4GU,Private Limited Company,Active,United Kingdom,,01/11/2023,30.0,11.0,01/08/2025,,NO ACCOUNTS FILED,29/11/2024,,0,0,0,0,68100 - Buying and selling of own real estate,,,,0,0,http://business.data.gov.uk/id/company/15253503,17/11/2023,THQ PROPERTIES LTD,,,,,,,,,,,,,,,,,,,14/11/2024,
5105240,THQ TRADERS LTD,11781165,,,130B UPWELL STREET,,SHEFFIELD,,ENGLAND,S4 8AJ,Private Limited Company,Active,United Kingdom,,22/01/2019,31.0,1.0,31/01/2025,31/01/2023,MICRO ENTITY,19/02/2020,,0,0,0,0,45112 - Sale of used cars and light motor vehicles,,,,0,0,http://business.data.gov.uk/id/company/11781165,,,,,,,,,,,,,,,,,,,,,04/02/2025,21/01/2024
5105307,THR PROPERTY LIMITED,15643816,,,FIRST FLOOR,90 ROCKINGHAM STREET,SHEFFIELD,SOUTH YORKSHIRE,UNITED KINGDOM,S1 4EB,Private Limited Company,Active,United Kingdom,,13/04/2024,30.0,4.0,13/01/2026,,NO ACCOUNTS FILED,11/05/2025,,0,0,0,0,98000 - Residents property management,,,,0,0,http://business.data.gov.uk/id/company/15643816,,,,,,,,,,,,,,,,,,,,,26/04/2025,
5105412,THREAD ARCHITECTS LIMITED,08597848,,,SITE GALLERY,1 BROWN STREET,SHEFFIELD,,ENGLAND,S1 2BS,Private Limited Company,Active,United Kingdom,,04/07/2013,31.0,7.0,30/04/2025,31/07/2023,TOTAL EXEMPTION FULL,01/08/2016,04/07/2015,0,0,0,0,71111 - Architectural activities,,,,0,0,http://business.data.gov.uk/id/company/08597848,,,,,,,,,,,,,,,,,,,,,18/07/2025,04/07/2024
5105753,THREATKEY UK LIMITED,13598591,,,THE OLD WORKSHOP,1 ECCLESALL ROAD SOUTH,SHEFFIELD,,UNITED KINGDOM,S11 9PA,Private Limited Company,Active,United Kingdom,,02/09/2021,30.0,9.0,30/06/2025,30/09/2023,MICRO ENTITY,30/09/2022,,0,0,0,0,62090 - Other information technology service activities,,,,0,0,http://business.data.gov.uk/id/company/13598591,,,,,,,,,,,,,,,,,,,,,15/09/2025,01/09/2024
5105848,THREE AM PROPERTY LIMITED,14837767,,,UNIT 10 NEEPSEND TRIANGLE BUSINESS CENTRE,1 BURTON ROAD,SHEFFIELD,,ENGLAND,S3 8BW,Private Limited Company,Active,United Kingdom,,01/05/2023,31.0,5.0,01/02/2025,,NO ACCOUNTS FILED,29/05/2024,,2,2,0,0,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/14837767,,,,,,,,,,,,,,,,,,,,,14/05/2025,30/04/2024
5106033,THREE BROTHERS GROUP LTD,06606205,,,24 STONEYCROFT ROAD,,SHEFFIELD,,ENGLAND,S13 9DQ,Private Limited Company,Active,United Kingdom,,30/05/2008,31.0,5.0,28/02/2025,31/05/2023,MICRO ENTITY,24/09/2016,27/08/2015,0,0,0,0,43210 - Electrical installation,,,,0,0,http://business.data.gov.uk/id/company/06606205,04/06/2024,SPECIALIST LIGHTING CONCEPTS LTD,02/03/2024,SPECIALST LIGHTING CONCEPTS LTD,26/02/2024,BRIGHTGREEN ENERGY EFFICIENT SERVICES LTD,,,,,,,,,,,,,,,15/02/2025,01/02/2024
5106035,THREE BROTHERS HOLDINGS LTD,11003115,,,24 STONEYCROFT ROAD,HANDSWORTH,SHEFFIELD,,UNITED KINGDOM,S13 9DQ,Private Limited Company,Active,United Kingdom,,09/10/2017,31.0,10.0,31/07/2025,31/10/2023,MICRO ENTITY,06/11/2018,,2,2,0,0,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/11003115,,,,,,,,,,,,,,,,,,,,,22/10/2025,08/10/2024
5106087,THREE CATS BAKERY ! LTD,15704974,,,WHARNCLIFFE WORKS,GREEN LANE,SHEFFIELD,,ENGLAND,S3 8SE,Private Limited Company,Active,United Kingdom,,07/05/2024,31.0,5.0,07/02/2026,,NO ACCOUNTS FILED,04/06/2025,,0,0,0,0,10710 - Manufacture of bread; manufacture of fresh pastry goods and cakes,56102 - Unlicensed restaurants and cafes,56103 - Take-away food shops and mobile food stands,,0,0,http://business.data.gov.uk/id/company/15704974,,,,,,,,,,,,,,,,,,,,,20/05/2025,
5106516,THREE GALLEYS LTD,11862257,,,9 FARRAR ROAD,,SHEFFIELD,,UNITED KINGDOM,S7 1BU,Private Limited Company,Active,United Kingdom,,05/03/2019,31.0,3.0,31/12/2024,31/03/2023,MICRO ENTITY,02/04/2020,,0,0,0,0,59200 - Sound recording and music publishing activities,,,,0,0,http://business.data.gov.uk/id/company/11862257,,,,,,,,,,,,,,,,,,,,,18/03/2025,04/03/2024
5106736,THREE LETTINGS LTD,15053599,,,6 BRINDLE MEWS,,SHEFFIELD,,ENGLAND,S9 5AU,Private Limited Company,Active,United Kingdom,,07/08/2023,31.0,8.0,07/05/2025,,NO ACCOUNTS FILED,04/09/2024,,0,0,0,0,68201 - Renting and operating of Housing Association real estate,,,,0,0,http://business.data.gov.uk/id/company/15053599,,,,,,,,,,,,,,,,,,,,,19/09/2025,05/09/2024
5106859,THREE MERRY LADS LTD,14444490,,,610 REDMIRES ROAD,,SHEFFIELD,,ENGLAND,S10 4LJ,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,26/10/2022,31.0,10.0,26/07/2024,,NO ACCOUNTS FILED,23/11/2023,,0,0,0,0,56302 - Public houses and bars,,,,0,0,http://business.data.gov.uk/id/company/14444490,,,,,,,,,,,,,,,,,,,,,08/11/2024,25/10/2023
5107307,THREE SISTER ZAYTOON LIMITED,13355099,,,SHEFFIELD FRESH FOOD 12,DORKING STREET,SHEFFIELD,,UNITED KINGDOM,S4 7LZ,Private Limited Company,Active,United Kingdom,,23/04/2021,30.0,4.0,31/01/2025,30/04/2023,TOTAL EXEMPTION FULL,21/05/2022,,0,0,0,0,47190 - Other retail sale in non-specialised stores,47210 - Retail sale of fruit and vegetables in specialised stores,47220 - Retail sale of meat and meat products in specialised stores,"47240 - Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores",0,0,http://business.data.gov.uk/id/company/13355099,,,,,,,,,,,,,,,,,,,,,02/03/2025,16/02/2024
5107752,THREE WISHES LTD,15718833,,,HILLTOP HOUSE,302 RINGINGLOW ROAD,SHEFFIELD,SOUTH YORKSHIRE,UNITED KINGDOM,S11 7PX,Private Limited Company,Active,United Kingdom,,14/05/2024,31.0,12.0,30/09/2025,,NO ACCOUNTS FILED,11/06/2025,,0,0,0,0,58110 - Book publishing,,,,0,0,http://business.data.gov.uk/id/company/15718833,,,,,,,,,,,,,,,,,,,,,27/05/2025,
5107902,THREEDEE MUSIC LTD,13513356,,,THE OLD WORKSHOP,1 ECCLESALL ROAD SOUTH,SHEFFIELD,SOUTH YORKSHIRE,UNITED KINGDOM,S11 9PA,Private Limited Company,Active,United Kingdom,,15/07/2021,31.0,7.0,30/04/2025,31/07/2023,MICRO ENTITY,12/08/2022,,0,0,0,0,59200 - Sound recording and music publishing activities,,,,0,0,http://business.data.gov.uk/id/company/13513356,,,,,,,,,,,,,,,,,,,,,28/07/2025,14/07/2024
5107924,THREEEIGHTYTWO LIMITED,07164052,,,THE OLD WORKSHOP,1 ECCLESALL ROAD SOUTH,SHEFFIELD,,,S11 9PA,Private Limited Company,Active,United Kingdom,,22/02/2010,28.0,2.0,30/11/2025,29/02/2024,MICRO ENTITY,22/03/2017,22/02/2016,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/07164052,14/12/2022,CARL BAKER PROMOTIONS LIMITED,,,,,,,,,,,,,,,,,,,08/03/2025,22/02/2024
5108022,THREEONETHREE ESTATES LTD,10529817,,,58 ABBEYDALE ROAD,,SHEFFIELD,,UNITED KINGDOM,S7 1FD,Private Limited Company,Active,United Kingdom,,16/12/2016,30.0,12.0,30/09/2025,30/12/2023,MICRO ENTITY,13/01/2018,,7,5,0,2,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/10529817,,,,,,,,,,,,,,,,,,,,,27/12/2024,13/12/2023
5108050,THREEPWOOD HOLDINGS LTD,15451133,,,32 TADCASTER CRESCENT,,SHEFFIELD,SOUTH YORKSHIRE,ENGLAND,S8 0RE,Private Limited Company,Active,United Kingdom,,29/01/2024,31.0,1.0,29/10/2025,,NO ACCOUNTS FILED,26/02/2025,,1,1,0,0,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/15451133,,,,,,,,,,,,,,,,,,,,,11/02/2025,
5108054,THREEROOFSCAFE LIMITED,15951447,,,77 NURSERY CRESENT,NORTH ANSTON,SHEFFIELD,,UNITED KINGDOM,S25 4BR,Private Limited Company,Active,United Kingdom,,11/09/2024,30.0,9.0,11/06/2026,,NO ACCOUNTS FILED,09/10/2025,,0,0,0,0,56101 - Licensed restaurants,,,,0,0,http://business.data.gov.uk/id/company/15951447,,,,,,,,,,,,,,,,,,,,,24/09/2025,
5108097,THREESIXTY HOLDCO 2 LIMITED,12172238,,,PEN CUTTING TOOLS BOLD STREET,ATTERCLIFFE,SHEFFIELD,SOUTH YORKSHIRE,ENGLAND,S9 2LR,Private Limited Company,Active,United Kingdom,,23/08/2019,31.0,12.0,30/09/2025,31/12/2023,TOTAL EXEMPTION FULL,20/09/2020,,3,3,0,0,64209 - Activities of other holding companies n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/12172238,,,,,,,,,,,,,,,,,,,,,15/08/2025,01/08/2024
5108100,THREESIXTY HOLDCO 8 LIMITED,14738085,,,PEN CUTTING TOOLS LTD,BOLD STREET,SHEFFIELD,SOUTH YORKSHIRE,UNITED KINGDOM,S9 2LR,Private Limited Company,Active,United Kingdom,,17/03/2023,31.0,3.0,31/12/2025,31/03/2024,DORMANT,14/04/2024,,0,0,0,0,64209 - Activities of other holding companies n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/14738085,,,,,,,,,,,,,,,,,,,,,23/03/2025,09/03/2024
