Date,Time,NO2_BR,Lat_BR,Lon_BR,NO2_DG,Lat_DG,Lon_DG,NO2_T,Lat_T,Lon_T
2023-01-04,01:00:00,5.13513,53.40495,-1.455815,3.45391,53.378622,-1.478096,6.72424,53.41058,-1.396139
2023-01-04,02:00:00,3.6014,53.40495,-1.455815,4.14424,53.378622,-1.478096,4.84587,53.41058,-1.396139
2023-01-04,03:00:00,4.10202,53.40495,-1.455815,3.3668,53.378622,-1.478096,5.34111,53.41058,-1.396139
2023-01-04,04:00:00,4.45253,53.40495,-1.455815,3.31515,53.378622,-1.478096,3.95651,53.41058,-1.396139
2023-01-04,05:00:00,2.34928,53.40495,-1.455815,3.10702,53.378622,-1.478096,7.46707,53.41058,-1.396139
2023-01-04,06:00:00,6.65328,53.40495,-1.455815,3.52122,53.378622,-1.478096,10.5356,53.41058,-1.396139
2023-01-04,07:00:00,12.11325,53.40495,-1.455815,5.4378,53.378622,-1.478096,23.4468,53.41058,-1.396139
2023-01-04,08:00:00,21.97219,53.40495,-1.455815,6.32017,53.378622,-1.478096,25.72494,53.41058,-1.396139
2023-01-04,09:00:00,28.43403,53.40495,-1.455815,5.64697,53.378622,-1.478096,19.09655,53.41058,-1.396139
2023-01-04,10:00:00,21.8465,53.40495,-1.455815,5.59532,53.378622,-1.478096,15.43456,53.41058,-1.396139
2023-01-04,11:00:00,19.93313,53.40495,-1.455815,5.80333,53.378622,-1.478096,14.0521,53.41058,-1.396139
2023-01-04,12:00:00,28.04071,53.40495,-1.455815,No data,53.378622,-1.478096,13.60919,53.41058,-1.396139
2023-01-04,13:00:00,27.3556,53.40495,-1.455815,No data,53.378622,-1.478096,12.22446,53.41058,-1.396139
2023-01-04,14:00:00,23.01143,53.40495,-1.455815,5.39003,53.378622,-1.478096,15.19427,53.41058,-1.396139
2023-01-04,15:00:00,27.55578,53.40495,-1.455815,5.80488,53.378622,-1.478096,17.02343,53.41058,-1.396139
2023-01-04,16:00:00,39.36659,53.40495,-1.455815,8.28995,53.378622,-1.478096,23.40458,53.41058,-1.396139
2023-01-04,17:00:00,25.7921,53.40495,-1.455815,9.68839,53.378622,-1.478096,24.94505,53.41058,-1.396139
2023-01-04,18:00:00,30.10693,53.40495,-1.455815,9.48258,53.378622,-1.478096,20.88122,53.41058,-1.396139
2023-01-04,19:00:00,19.53255,53.40495,-1.455815,7.51216,53.378622,-1.478096,15.43532,53.41058,-1.396139
2023-01-04,20:00:00,20.74565,53.40495,-1.455815,6.73553,53.378622,-1.478096,13.70247,53.41058,-1.396139
2023-01-04,21:00:00,14.50022,53.40495,-1.455815,5.75026,53.378622,-1.478096,13.10763,53.41058,-1.396139
2023-01-04,22:00:00,11.72383,53.40495,-1.455815,4.71437,53.378622,-1.478096,15.73464,53.41058,-1.396139
2023-01-04,23:00:00,18.3769,53.40495,-1.455815,7.25458,53.378622,-1.478096,14.68474,53.41058,-1.396139
2023-01-04,24:00:00,15.56464,53.40495,-1.455815,5.49112,53.378622,-1.478096,8.20727,53.41058,-1.396139
2023-01-05,01:00:00,7.00268,53.40495,-1.455815,4.76903,53.378622,-1.478096,4.48427,53.41058,-1.396139
2023-01-05,02:00:00,2.86601,53.40495,-1.455815,5.80565,53.378622,-1.478096,3.43001,53.41058,-1.396139
2023-01-05,03:00:00,2.75044,53.40495,-1.455815,5.08091,53.378622,-1.478096,4.15466,53.41058,-1.396139
2023-01-05,04:00:00,3.50194,53.40495,-1.455815,3.99148,53.378622,-1.478096,8.01221,53.41058,-1.396139
2023-01-05,05:00:00,11.79946,53.40495,-1.455815,4.87195,53.378622,-1.478096,16.12545,53.41058,-1.396139
2023-01-05,06:00:00,25.97432,53.40495,-1.455815,8.34688,53.378622,-1.478096,34.24037,53.41058,-1.396139
2023-01-05,07:00:00,35.20133,53.40495,-1.455815,11.04216,53.378622,-1.478096,28.54077,53.41058,-1.396139
2023-01-05,08:00:00,44.41722,53.40495,-1.455815,17.2656,53.378622,-1.478096,30.90789,53.41058,-1.396139
2023-01-05,09:00:00,70.89301,53.40495,-1.455815,29.8722,53.378622,-1.478096,39.48412,53.41058,-1.396139
2023-01-05,10:00:00,55.23982,53.40495,-1.455815,30.23521,53.378622,-1.478096,31.9632,53.41058,-1.396139
2023-01-05,11:00:00,48.30638,53.40495,-1.455815,28.32138,53.378622,-1.478096,28.30442,53.41058,-1.396139
2023-01-05,12:00:00,42.06443,53.40495,-1.455815,24.95087,53.378622,-1.478096,35.15006,53.41058,-1.396139
2023-01-05,13:00:00,49.60075,53.40495,-1.455815,26.34429,53.378622,-1.478096,35.34385,53.41058,-1.396139
2023-01-05,14:00:00,39.71049,53.40495,-1.455815,32.8815,53.378622,-1.478096,29.00796,53.41058,-1.396139
2023-01-05,15:00:00,42.29362,53.40495,-1.455815,27.23003,53.378622,-1.478096,35.39774,53.41058,-1.396139
2023-01-05,16:00:00,53.07108,53.40495,-1.455815,22.29546,53.378622,-1.478096,42.3745,53.41058,-1.396139
2023-01-05,17:00:00,36.78126,53.40495,-1.455815,18.09746,53.378622,-1.478096,32.86308,53.41058,-1.396139
2023-01-05,18:00:00,26.74541,53.40495,-1.455815,13.122,53.378622,-1.478096,24.49414,53.41058,-1.396139
2023-01-05,19:00:00,30.02617,53.40495,-1.455815,12.03051,53.378622,-1.478096,18.45435,53.41058,-1.396139
2023-01-05,20:00:00,33.12609,53.40495,-1.455815,10.21428,53.378622,-1.478096,11.37655,53.41058,-1.396139
2023-01-05,21:00:00,18.7629,53.40495,-1.455815,7.41523,53.378622,-1.478096,9.69476,53.41058,-1.396139
2023-01-05,22:00:00,12.66395,53.40495,-1.455815,6.37981,53.378622,-1.478096,9.25609,53.41058,-1.396139
2023-01-05,23:00:00,10.40376,53.40495,-1.455815,5.34041,53.378622,-1.478096,5.24349,53.41058,-1.396139
2023-01-05,24:00:00,13.25063,53.40495,-1.455815,5.23625,53.378622,-1.478096,5.5387,53.41058,-1.396139
