0,1,2,3
4.0,54.0,1200.0,1655.0
4.0,56.0,1198.0,643.0
4.0,61.0,3349.0,623.0
4.0,62.0,303.0,3314.0
4.0,68.0,303.0,1642.0
4.0,70.0,1198.0,1706.0
4.0,72.0,1208.0,1212.0
4.0,73.0,304.0,333.0
4.0,77.0,3926.0,1725.0
4.0,78.0,1208.0,86.0
4.0,80.0,1198.0,1824.0
4.0,81.0,1198.0,1531.0
4.0,88.0,3351.0,688.0
4.0,89.0,3915.0,3903.0
4.0,91.0,1198.0,3282.0
4.0,95.0,314.0,3237.0
4.0,107.0,282.0,3176.0
4.0,115.0,303.0,830.0
4.0,116.0,2834.0,2830.0
4.0,121.0,285.0,2966.0
4.0,126.0,1200.0,2139.0
4.0,128.0,303.0,2017.0
4.0,129.0,1200.0,827.0
4.0,135.0,892.0,3910.0
4.0,141.0,303.0,237.0
4.0,143.0,1197.0,2564.0
4.0,148.0,304.0,3658.0
4.0,151.0,1198.0,86.0
4.0,160.0,303.0,3112.0
4.0,163.0,1196.0,2192.0
4.0,164.0,315.0,1712.0
4.0,170.0,304.0,2827.0
4.0,178.0,21.0,2477.0
4.0,187.0,1200.0,81.0
4.0,190.0,1198.0,3974.0
4.0,196.0,1208.0,2289.0
4.0,197.0,315.0,2578.0
4.0,198.0,21.0,826.0
4.0,200.0,304.0,744.0
4.0,213.0,1198.0,829.0
4.0,214.0,303.0,928.0
4.0,215.0,1198.0,149.0
4.0,223.0,1198.0,868.0
4.0,224.0,3351.0,3692.0
4.0,225.0,21.0,84.0
4.0,227.0,1198.0,2183.0
4.0,242.0,1198.0,193.0
4.0,243.0,996.0,3175.0
4.0,247.0,22.0,2532.0
4.0,274.0,1197.0,1634.0
4.0,316.0,1198.0,1867.0
4.0,320.0,1198.0,2037.0
4.0,339.0,1198.0,1497.0
5.0,2.0,2011.0,3455.0
5.0,4.0,2011.0,1198.0
5.0,5.0,54.0,52.0
5.0,7.0,54.0,3431.0
5.0,12.0,54.0,635.0
5.0,14.0,52.0,981.0
5.0,15.0,54.0,2956.0
5.0,16.0,52.0,2879.0
5.0,19.0,2010.0,256.0
5.0,20.0,54.0,699.0
5.0,23.0,52.0,2840.0
5.0,24.0,54.0,332.0
5.0,27.0,54.0,713.0
5.0,28.0,54.0,2046.0
5.0,37.0,54.0,403.0
5.0,41.0,2011.0,36.0
5.0,42.0,54.0,3191.0
5.0,43.0,54.0,682.0
5.0,46.0,52.0,1515.0
5.0,54.0,54.0,1005.0
5.0,55.0,52.0,690.0
5.0,62.0,54.0,3146.0
5.0,70.0,54.0,1598.0
5.0,72.0,2011.0,3635.0
5.0,73.0,2010.0,333.0
5.0,74.0,2011.0,2053.0
5.0,84.0,2010.0,2269.0
5.0,88.0,54.0,688.0
5.0,90.0,54.0,1412.0
5.0,91.0,54.0,3282.0
5.0,93.0,2010.0,2943.0
5.0,95.0,2011.0,3227.0
5.0,98.0,54.0,1419.0
5.0,99.0,54.0,234.0
5.0,110.0,2011.0,2877.0
5.0,114.0,2011.0,2044.0
5.0,122.0,54.0,2009.0
5.0,123.0,2011.0,682.0
5.0,125.0,52.0,720.0
5.0,128.0,54.0,2019.0
5.0,132.0,2011.0,3205.0
5.0,134.0,2011.0,471.0
5.0,135.0,2011.0,583.0
5.0,136.0,54.0,3864.0
5.0,139.0,2011.0,527.0
5.0,142.0,52.0,685.0
5.0,143.0,54.0,2564.0
5.0,147.0,54.0,87.0
5.0,171.0,2011.0,1543.0
5.0,173.0,2011.0,3975.0
5.0,175.0,2010.0,661.0
5.0,178.0,54.0,2483.0
5.0,183.0,52.0,1585.0
5.0,185.0,2011.0,1543.0
5.0,187.0,54.0,81.0
5.0,192.0,2011.0,2288.0
5.0,194.0,54.0,2566.0
5.0,200.0,54.0,3447.0
5.0,209.0,52.0,2134.0
5.0,210.0,54.0,256.0
5.0,218.0,2011.0,148.0
5.0,224.0,54.0,2518.0
5.0,225.0,54.0,84.0
5.0,236.0,52.0,1916.0
5.0,241.0,2011.0,261.0
5.0,243.0,2011.0,260.0
5.0,248.0,52.0,711.0
5.0,254.0,54.0,2979.0
5.0,275.0,2011.0,2783.0
5.0,278.0,2011.0,694.0
5.0,295.0,2011.0,1419.0
5.0,308.0,2011.0,542.0
5.0,314.0,52.0,1417.0
5.0,321.0,54.0,241.0
5.0,333.0,54.0,256.0
6.0,1.0,1104.0,1898.0
6.0,2.0,1113.0,3264.0
6.0,4.0,1811.0,1198.0
6.0,6.0,2619.0,3198.0
6.0,7.0,910.0,203.0
6.0,8.0,1108.0,2871.0
6.0,10.0,3408.0,1426.0
6.0,11.0,881.0,333.0
6.0,14.0,882.0,3759.0
6.0,17.0,1811.0,2314.0
6.0,18.0,1109.0,84.0
6.0,21.0,3042.0,3663.0
6.0,23.0,1115.0,2145.0
6.0,24.0,3408.0,1491.0
6.0,25.0,2130.0,3647.0
6.0,26.0,882.0,3473.0
6.0,29.0,3408.0,762.0
6.0,30.0,923.0,3966.0
6.0,31.0,1006.0,2922.0
6.0,33.0,883.0,3686.0
6.0,34.0,914.0,2105.0
6.0,37.0,3408.0,3307.0
6.0,38.0,1111.0,2194.0
6.0,41.0,108.0,2551.0
6.0,42.0,447.0,921.0
6.0,44.0,3503.0,85.0
6.0,45.0,1112.0,66.0
6.0,46.0,2729.0,3844.0
6.0,47.0,3408.0,1981.0
6.0,48.0,3877.0,2597.0
6.0,49.0,3503.0,172.0
6.0,50.0,2728.0,990.0
6.0,51.0,2929.0,2580.0
6.0,53.0,884.0,2819.0
6.0,54.0,3044.0,1001.0
6.0,55.0,449.0,3843.0
6.0,56.0,1106.0,3573.0
6.0,58.0,2728.0,1380.0
6.0,60.0,1188.0,641.0
6.0,61.0,1102.0,2675.0
6.0,62.0,1112.0,209.0
6.0,64.0,2619.0,1081.0
6.0,66.0,2619.0,3696.0
6.0,67.0,448.0,1420.0
6.0,68.0,1111.0,440.0
6.0,72.0,2915.0,3706.0
6.0,73.0,3198.0,401.0
6.0,74.0,447.0,2054.0
6.0,75.0,880.0,974.0
6.0,78.0,1106.0,86.0
6.0,81.0,1810.0,3359.0
6.0,83.0,1811.0,1726.0
6.0,85.0,1106.0,1373.0
6.0,88.0,1115.0,688.0
6.0,89.0,2712.0,3903.0
6.0,90.0,1104.0,1413.0
6.0,96.0,447.0,339.0
6.0,103.0,3201.0,2468.0
6.0,105.0,3944.0,2035.0
6.0,107.0,2711.0,3176.0
6.0,108.0,1812.0,1720.0
6.0,109.0,1113.0,1393.0
6.0,113.0,1113.0,1450.0
6.0,114.0,3042.0,3852.0
6.0,115.0,2620.0,2514.0
6.0,125.0,2620.0,720.0
6.0,126.0,882.0,2139.0
6.0,128.0,2620.0,580.0
6.0,132.0,3142.0,2006.0
6.0,134.0,911.0,2926.0
6.0,135.0,1103.0,788.0
6.0,137.0,1810.0,2928.0
