osmid,osmid_original,y,x,street_count,LSOA,LSOA_Lon,LSOA_Lat,PWC_Distance,NodeID,lon,lat,osmid_Old,NodeID_New,ref,highway,geometry
156,"[260060385, 260059167, 260059169, 260060387, 246695210, 260059170, 260060376, 260060375, 260059168, 260277397, 260060378, 260060386, 260060381]",53.419893013437544,-1.487188489922695,0,E01008090,-1.4896557131490709,53.42038311745817,0.002515430857686977,156,,,160,156,,,POINT (-1.487188489922695 53.419893013437544)
157,"[8963755102, 24941771, 27238308, 8963755093, 27238309, 8963755112, 24941776, 8963755123, 8963755143, 8963755141, 3199083175, 265661711, 8715402931, 26821405, 8963755101, 1461903367, 1441118197, 1234889059, 8963755119, 8715402918, 149916446, 3199083174, 8715402941, 3199083171, 8715402923, 262065572, 1744738509, 262065664, 8715402924]",53.41705697421372,-1.499858087084763,0,E01008089,-1.5098346801158087,53.41768791317347,0.009996524019779636,157,,,161,157,,,POINT (-1.499858087084763 53.41705697421372)
158,"[160302064, 160302225]",53.42774280005507,-1.4923695499692706,0,E01008088,-1.4954583059417765,53.4221110211468,0.006423188237111792,158,,,162,158,,,POINT (-1.4923695499692706 53.42774280005507)
159,"[25274595, 246928245, 726552034, 726547234, 726552028, 726551478, 726551288, 726551863]",53.444402668580274,-1.5524659196777404,0,E01008136,-1.5541134418636282,53.44900594903558,0.004889224918450664,159,,,163,159,,,POINT (-1.5524659196777404 53.444402668580274)
160,"[249677394, 2847884757, 88884493, 2847831550, 2847884758, 244046702]",53.43670318996742,-1.5393571433316178,0,E01008140,-1.538970196824769,53.435277834174045,0.0014769450690068737,160,,,164,160,,,POINT (-1.5393571433316178 53.43670318996742)
161,392505012,53.4472751,-1.552713300000001,3,E01008136,-1.5541134418636282,53.44900594903558,0.002226260456967744,161,-1.5527133,53.4472751,165,161,,,POINT (-1.552713300000001 53.4472751)
162,1182939069,53.4394646,-1.5449824999999997,3,E01008128,-1.5556293212159684,53.42857758449353,0.015227669179585563,162,-1.5449825,53.4394646,166,162,,,POINT (-1.5449824999999997 53.4394646)
163,"[249162158, 569654891, 246927689]",53.450086635191454,-1.5530305720618955,0,E01008136,-1.5541134418636282,53.44900594903558,0.0015298658683038262,163,,,167,163,,,POINT (-1.5530305720618955 53.450086635191454)
164,25316740,53.376130999999994,-1.3996779000000013,3,E01007910,-1.3992525935123685,53.373735315895516,0.002433143632608519,164,-1.3996779,53.376131,168,164,,,POINT (-1.3996779000000013 53.376130999999994)
165,25316742,53.37512599999999,-1.4025329000000009,3,E01007910,-1.3992525935123685,53.373735315895516,0.003562921965363012,165,-1.4025329,53.375126,169,165,,motorway_junction,POINT (-1.4025329000000009 53.37512599999999)
