u,v,key,osmid,oneway,lanes_OSMNx,ref,highway,maxspeed,reversed,length,bridge,ID,ID_tuple,new_ID,count,speedlim,lanes,width,highway_key,class,road_class,capacity,congFactor,avgSpeed,criticalDensity,u_original,v_original,geometry,idx,u_Old,v_Old,key_Old,name,junction,access,width_OSMNx,suspicious_width,tunnel
3,7,0,"[807839032, 807839031, 146389976]",True,,A629,primary,40 mph,False,227.65956773242533,yes,"[807839032, 807839031, 146389976]","(807839032, 807839031, 146389976)",1191,1,64.3736,2.0,7.169747619047621,primary,UAP2,2,1044.6021602016149,0.3,19.312079999999998,54.09060858289811,33205084,33205095,"LINESTRING (-1.4467362829971904 53.45576227458879, -1.4463903000000005 53.4561807, -1.4445045000000007 53.4563593, -1.4441830612121387 53.45596348885193)","(5, 11, 0)",5,11,0,Thorpe Hesley Interchange,roundabout,,,,
3,482,0,142810199,False,2,A629,primary,40 mph,False,195.76467982475538,,[142810199],"(142810199,)",1207,4,64.3736,2.0,7.169747619047621,primary,UAP2,2,1044.6021602016149,0.3,19.312079999999998,54.09060858289811,1562857116,862237664,"LINESTRING (-1.4467362829971904 53.45576227458879, -1.4475629 53.4559232, -1.4492876000000001 53.4566154)","(5, 487, 0)",5,487,0,Cowley Lane,,,,,
7,6,0,"[142810531, 22726725]",True,,,motorway_link,70 mph,False,694.1190695604826,,"[142810531, 22726725]","(142810531, 22726725)",1193,1,112.6538,2.0,7.169747619047621,motorway_link,UAP1,1,1289.1888288734274,0.6,67.59228,19.073018825129548,33205092,1590900275,"LINESTRING (-1.4441830612121387 53.45596348885193, -1.4440405000000014 53.455533899999985, -1.4443261000000014 53.4497359)","(11, 10, 0)",11,10,0,,,,,,
7,3,0,"[807841922, 31815150, 146389975]",True,,A629,primary,40 mph,False,261.6695919314152,yes,"[807841922, 31815150, 146389975]","(807841922, 31815150, 146389975)",1194,1,64.3736,2.0,7.169747619047621,primary,UAP2,2,1044.6021602016149,0.3,19.312079999999998,54.09060858289811,33205092,261994607,"LINESTRING (-1.4441830612121387 53.45596348885193, -1.4440405000000014 53.455533899999985, -1.4462396999999998 53.455269699999995, -1.4467362829971904 53.45576227458879)","(11, 5, 0)",11,5,0,Thorpe Hesley Interchange,roundabout,,,,
482,481,0,142810199,False,2,A629,primary,40 mph,False,261.84353130847643,,[142810199],"(142810199,)",1207,4,64.3736,2.0,7.169747619047621,primary,UAP2,2,1044.6021602016149,0.3,19.312079999999998,54.09060858289811,862237664,35331988,"LINESTRING (-1.4492876000000001 53.4566154, -1.4527210000000004 53.45683999999999, -1.4530678700961046 53.456634319044625)","(487, 486, 0)",487,486,0,Cowley Lane,,,,,
482,3,0,142810199,False,2,A629,primary,40 mph,True,195.76467982475538,,[142810199],"(142810199,)",1207,4,64.3736,2.0,7.169747619047621,primary,UAP2,2,1044.6021602016149,0.3,19.312079999999998,54.09060858289811,862237664,1562857116,"LINESTRING (-1.4492876000000001 53.4566154, -1.4475629 53.4559232, -1.4467362829971904 53.45576227458879)","(487, 5, 0)",487,5,0,Cowley Lane,,,,,
4,5,0,"[963682304, 963682305, 8066406]",True,"['2', '1', '3']",,motorway_link,70 mph,False,562.4438386742055,,"[963682304, 963682305, 8066406]","(963682304, 963682305, 8066406)",4,1,112.6538,2.0,7.169747619047621,motorway_link,UAP1,1,1289.1888288734274,0.6,67.59228,19.073018825129548,318446,21754470,"LINESTRING (-1.4152296 53.4259088, -1.4107572000000002 53.422776299999995, -1.4112807154613123 53.42189187358523)","(6, 8, 0)",6,8,0,,,,,,
631,627,0,"[1010759246, 1010759247, 22716582, 107449543]",False,2,,tertiary,,False,235.89048734603676,yes,"[1010759246, 1010759247, 22716582, 107449543]","(1010759246, 1010759247, 22716582, 107449543)",2076,1,48.2802,2.0,5.283099999999999,tertiary,UAP4,4,641.9517534381737,0.3,14.48406,44.321257536779996,243641900,243641903,"LINESTRING (-1.4156019999999996 53.424102, -1.4177515000000003 53.42337979999999, -1.4179454521158477 53.422743289407165)","(636, 632, 0)",636,632,0,Fife Street,,,,,
631,5,0,425752248,False,,,tertiary,,False,378.6178677964201,,[425752248],"(425752248,)",2073,8,48.2802,1.0,4.190957792207791,tertiary,UAP4,4,549.3071401513391,0.3,14.48406,37.92494232634628,243641900,1234855129,"LINESTRING (-1.4156019999999996 53.424102, -1.4123048000000005 53.422518600000004, -1.4112807154613123 53.42189187358523)","(636, 8, 0)",636,8,0,Blackburn Road,,,,,
631,630,0,425752248,False,,,tertiary,,True,270.7909982472101,,[425752248],"(425752248,)",2073,8,48.2802,1.0,4.190957792207791,tertiary,UAP4,4,549.3071401513391,0.3,14.48406,37.92494232634628,243641900,243641897,"LINESTRING (-1.4156019999999996 53.424102, -1.4168892000000013 53.42599179999999, -1.4170929482401668 53.426366050172085)","(636, 635, 0)",636,635,0,Blackburn Road,,,,,
62,5,0,"[117987005, 22716798, 117986943]",False,4,A6109,primary,30 mph,False,590.5765644097016,yes,"[117987005, 22716798, 117986943]","(117987005, 22716798, 117986943)",1588,2,48.2802,4.0,9.244928571428574,primary,UAP2,2,1246.045296894819,0.3,14.48406,86.0287306801283,3255856776,148863789,"LINESTRING (-1.4103721574667156 53.4170625328809, -1.4124939000000003 53.41900189999999, -1.4119039 53.4209212, -1.4112807154613123 53.42189187358523)","(66, 8, 0)",66,8,0,Meadowhall Road,,,,,
62,413,0,"[43157080, 807292649, 205213427, 963682327]",False,"['2', '3']",A6109,primary,30 mph,True,824.5534195879081,,"[43157080, 807292649, 205213427, 963682327]","(43157080, 807292649, 205213427, 963682327)",2048,2,48.2802,3.0,9.244928571428574,primary,UAP3,3,1126.66191344125,0.3,14.48406,77.78633293712191,243641822,726561974,"LINESTRING (-1.4103721574667156 53.4170625328809, -1.4123057000000006 53.416339599999986, -1.4182508999999996 53.41199759999999, -1.4187172890090287 53.4123358648109)","(66, 418, 0)",66,418,0,Meadowhall Road,,,,,
62,623,0,"[979613569, 117988290, 22716809, 117988282, 22716573]",False,2,,tertiary,,True,479.5746545985931,yes,"[979613569, 117988290, 22716809, 117988282, 22716573]","(979613569, 117988290, 22716809, 117988282, 22716573)",2062,2,48.2802,2.0,5.283099999999999,tertiary,UAP4,4,641.9517534381737,0.3,14.48406,44.321257536779996,1515071829,243641865,"LINESTRING (-1.4103721574667156 53.4170625328809, -1.4137205000000013 53.4187472, -1.4161001999999998 53.4196703)","(66, 628, 0)",66,628,0,Barrow Road,,,,,
62,60,0,"[203177835, 807310870]",True,"['2', '3']",,tertiary,30 mph,False,720.8574100251577,,"[203177835, 807310870]","(203177835, 807310870)",3416,1,48.2802,3.0,9.302,tertiary,UAP4,4,1038.230194746018,0.3,14.48406,71.68088193131057,1028003047,8914076490,"LINESTRING (-1.4103721574667156 53.4170625328809, -1.4060900000000012 53.4153215, -1.4057835999999995 53.4140171, -1.4071765820408262 53.412124979911525)","(66, 64, 0)",66,64,0,Meadowhall Way,,,,,
62,754,0,"[807310856, 807310852, 807310853]",True,1,,tertiary,,False,451.68925196070063,yes,"[807310856, 807310852, 807310853]","(807310856, 807310852, 807310853)",4534,1,48.2802,1.0,4.190957792207791,tertiary,UAP4,4,549.3071401513391,0.3,14.48406,37.92494232634628,7549524629,4109393464,"LINESTRING (-1.4103721574667156 53.4170625328809, -1.4067843000000002 53.41616509999999, -1.4043286999999998 53.417093)","(66, 760, 0)",66,760,0,Blackburn Meadows Way,,,,,
6,4,0,"[3059936, 118514361, 118514104, 3059961, 118514362]",True,4,M1,motorway,70 mph,False,3335.8710000000005,yes,"[3059936, 118514361, 118514104, 3059961, 118514362]","(3059936, 118514361, 118514104, 3059961, 118514362)",3930,1,112.6538,4.0,9.244928571428574,motorway,UAP1,1,1537.7985401801498,0.6,67.59228,22.751097317328988,1590900275,318446,"LINESTRING (-1.4443261000000014 53.4497359, -1.4152296 53.4259088)","(10, 6, 0)",10,6,0,,,,,,
8,9,0,46731018,False,2,A6102,primary,60 mph,True,302.60799379641117,yes,[46731018],"(46731018,)",428,2,96.5604,2.0,7.169747619047621,primary,UAP2,2,1044.6021602016149,0.3,28.96812,36.06040572193207,25966038,25920160,"LINESTRING (-1.5608020005415026 53.48277432386066, -1.5614631 53.4830454, -1.5616388999999997 53.4813605, -1.5625543316309014 53.481448270061115)","(12, 13, 2)",12,13,2,Wortley Road,,,,,
9,10,0,4477210,False,3,A616,trunk,60 mph,True,675.4124944828842,,[4477210],"(4477210,)",424,2,96.5604,3.0,9.244928571428574,trunk,UAP1,1,1572.5508053393933,0.3,28.96812,54.285566524144244,25920147,1283417184,"LINESTRING (-1.5625543316309014 53.481448270061115, -1.5628926000000003 53.4819659, -1.5721262000000003 53.4822447)","(13, 14, 0)",13,14,0,Stocksbridge Bypass,,,,,
9,8,0,46731018,False,2,A6102,primary,60 mph,False,302.60799379641117,yes,[46731018],"(46731018,)",428,2,96.5604,2.0,7.169747619047621,primary,UAP2,2,1044.6021602016149,0.3,28.96812,36.06040572193207,25920160,25966038,"LINESTRING (-1.5625543316309014 53.481448270061115, -1.5616388999999997 53.4813605, -1.5614631 53.4830454, -1.5608020005415026 53.48277432386066)","(13, 12, 1)",13,12,1,Wortley Road,,,,,
9,201,0,"[162607687, 1193036072, 198659726, 624134045, 1046207262]",False,2,A6102,primary,"['30 mph', '60 mph']",True,358.6145758403222,,"[162607687, 1193036072, 198659726, 624134045, 1046207262]","(162607687, 1193036072, 198659726, 624134045, 1046207262)",426,2,96.5604,2.0,7.169747619047621,primary,UAP2,2,1044.6021602016149,0.3,28.96812,36.06040572193207,1347645836,25920153,"LINESTRING (-1.5625543316309014 53.481448270061115, -1.5631314999999992 53.48101739999999, -1.5658439000000002 53.478891499999996)","(13, 206, 0)",13,206,0,Wortley Road,,,,,
10,9,0,4477210,False,3,A616,trunk,60 mph,False,675.4124944828842,,[4477210],"(4477210,)",424,2,96.5604,3.0,9.244928571428574,trunk,UAP1,1,1572.5508053393933,0.3,28.96812,54.285566524144244,1283417184,25920147,"LINESTRING (-1.5721262000000003 53.4822447, -1.5628926000000003 53.4819659, -1.5625543316309014 53.481448270061115)","(14, 13, 0)",14,13,0,Stocksbridge Bypass,,,,,
