Actual,Partial_Dep,Density,Partial,CriticalDensity,Capacity,TT,Pred
13.87,15.253885764511228,4.375,0.022950570287996186,125,2450,0.9316772283482142,0.06125
15.68,15.253885764511228,4.375,0.022950570287996186,125,2450,0.9316772283482142,0.06125
13.515,15.253885764511228,4.375,0.022950570287996186,125,2450,0.9316772283482142,0.06125
13.920000000000002,15.254851097773276,4.5,0.02391590355004425,125,2450,0.9316772533624844,0.063
8.79,15.254851097773276,4.5,0.02391590355004425,125,2450,0.9316772533624844,0.063
16.745,15.254851097773276,4.5,0.02391590355004425,125,2450,0.9316772533624844,0.063
10.240000000000002,15.254851097773276,4.5,0.02391590355004425,125,2450,0.9316772533624844,0.063
11.995,15.254851097773276,4.5,0.02391590355004425,125,2450,0.9316772533624844,0.063
14.745,15.254851097773276,4.5,0.02391590355004425,125,2450,0.9316772533624844,0.063
12.43,15.254851097773276,4.5,0.02391590355004425,125,2450,0.9316772533624844,0.063
12.89,15.254851097773276,4.5,0.02391590355004425,125,2450,0.9316772533624844,0.063
11.025,15.254851097773276,4.5,0.02391590355004425,125,2450,0.9316772533624844,0.063
9.75,15.257237008927158,4.625,0.026301814703925785,125,2450,0.9316772805504502,0.06475
8.41,15.257237008927158,4.625,0.026301814703925785,125,2450,0.9316772805504502,0.06475
16.845,15.257237008927158,4.625,0.026301814703925785,125,2450,0.9316772805504502,0.06475
14.615000000000002,15.257237008927158,4.625,0.026301814703925785,125,2450,0.9316772805504502,0.06475
16.25,15.257237008927158,4.625,0.026301814703925785,125,2450,0.9316772805504502,0.06475
9.49,15.257237008927158,4.625,0.026301814703925785,125,2450,0.9316772805504502,0.06475
16.52,15.257237008927158,4.625,0.026301814703925785,125,2450,0.9316772805504502,0.06475
13.705000000000002,15.257237008927158,4.625,0.026301814703925785,125,2450,0.9316772805504502,0.06475
11.435,15.257237008927158,4.625,0.026301814703925785,125,2450,0.9316772805504502,0.06475
15.95,15.257237008927158,4.625,0.026301814703925785,125,2450,0.9316772805504502,0.06475
16.825,15.257237008927158,4.625,0.026301814703925785,125,2450,0.9316772805504502,0.06475
7.985,15.25883410616126,4.75,0.027898911938027737,125,2450,0.9316773100345341,0.0665
13.36,15.25883410616126,4.75,0.027898911938027737,125,2450,0.9316773100345341,0.0665
10.11,15.25883410616126,4.75,0.027898911938027737,125,2450,0.9316773100345341,0.0665
14.74,15.25883410616126,4.75,0.027898911938027737,125,2450,0.9316773100345341,0.0665
14.65,15.258978881491553,4.875,0.02804368726832074,125,2450,0.9316773419405124,0.06825
17.509999999999998,15.258978881491553,4.875,0.02804368726832074,125,2450,0.9316773419405124,0.06825
14.295,15.258978881491553,4.875,0.02804368726832074,125,2450,0.9316773419405124,0.06825
13.825,15.266208541576146,5,0.03527334735291454,125,2450,0.9316773763975155,0.07
9.775,15.266208541576146,5,0.03527334735291454,125,2450,0.9316773763975155,0.07
13.39,15.266208541576146,5,0.03527334735291454,125,2450,0.9316773763975155,0.07
20.465,15.268718881372743,5.125,0.037783687149511636,125,2450,0.9316774135380278,0.07175000000000001
12.195,15.268718881372743,5.125,0.037783687149511636,125,2450,0.9316774135380278,0.07175000000000001
