Density,NO2
6.76,0.09260114392737512
6.7700000000000005,0.0927381278680961
6.78,0.09287511180881707
6.79,0.09301209574953803
6.8,0.093149079690259
6.8100000000000005,0.09328606363097997
6.82,0.09342304757170093
6.83,0.0935600315124219
6.84,0.09369701545314287
6.8500000000000005,0.09383399939386385
6.86,0.09397098333458481
6.87,0.09410796727530578
6.88,0.09424495121602675
6.890000000000001,0.09438193515674773
6.9,0.09451891909746869
6.91,0.09465590303818966
6.92,0.09479288697891063
6.93,0.09492987091963159
6.94,0.09506685486035257
6.95,0.09520383880107354
6.96,0.0953408227417945
6.97,0.09547780668251546
6.98,0.09561479062323644
6.99,0.0957517745639574
7,0.09588875850467837
7.01,0.09602574244539934
7.0200000000000005,0.09616272638612032
7.03,0.09629971032684129
7.04,0.09643669426756225
7.05,0.09657367820828322
7.0600000000000005,0.0967106621490042
7.07,0.09684764608972517
7.08,0.09698463003044613
7.09,0.0971216139711671
7.1000000000000005,0.09725859791188808
7.11,0.09739558185260905
7.12,0.09753256579333
7.13,0.09766954973405097
7.140000000000001,0.09780653367477195
7.15,0.09794351761549291
7.16,0.09808050155621388
7.17,0.09821748549693485
7.18,0.09835446943765581
7.19,0.0984914533783768
7.2,0.09862843731909776
7.21,0.09876542125981873
7.22,0.0989024052005397
7.23,0.09903938914126068
7.24,0.09917637308198164
7.25,0.09931335702270261
7.26,0.09945034096342358
7.2700000000000005,0.09958732490414454
7.28,0.09972430884486551
7.29,0.09986129278558648
7.3,0.09999827672630744
7.3100000000000005,0.10013526066702842
7.32,0.10027224460774939
7.33,0.10040922854847036
7.34,0.10054621248919132
7.3500000000000005,0.1006831964299123
7.36,0.10082018037063327
7.37,0.10095716431135424
7.38,0.1010941482520752
7.390000000000001,0.10123113219279618
7.4,0.10136811613351715
7.41,0.10150510007423812
7.42,0.10164208401495908
7.43,0.10177906795568005
7.44,0.10191605189640102
7.45,0.10205303583712198
7.46,0.10219001977784295
7.47,0.10232700371856392
7.48,0.1024639876592849
7.49,0.10260097160000586
7.5,0.10273795554072683
7.51,0.1028749394814478
7.5200000000000005,0.10301192342216878
7.53,0.10314890736288974
7.54,0.10328589130361071
7.55,0.10342287524433168
7.5600000000000005,0.10355985918505266
7.57,0.10369684312577362
7.58,0.10383382706649459
7.59,0.10397081100721556
7.6000000000000005,0.10410779494793652
7.61,0.10424477888865749
7.62,0.10438176282937846
7.63,0.10451874677009942
7.640000000000001,0.1046557307108204
7.65,0.10479271465154137
7.66,0.10492969859226234
7.67,0.1050666825329833
7.68,0.10520366647370427
7.69,0.10534065041442525
7.7,0.10547763435514622
7.71,0.10561461829586719
7.72,0.10575160223658815
7.73,0.10588858617730913
7.74,0.1060255701180301
7.75,0.10616255405875107
7.76,0.10629953799947203
7.7700000000000005,0.106436521940193
7.78,0.10657350588091397
7.79,0.10671048982163493
7.8,0.1068474737623559
7.8100000000000005,0.10698445770307688
7.82,0.10712144164379785
7.83,0.10725842558451881
7.84,0.10739540952523978
7.8500000000000005,0.10753239346596076
7.86,0.10766937740668173
7.87,0.1078063613474027
7.88,0.10794334528812366
7.890000000000001,0.10808032922884464
7.9,0.10821731316956561
7.91,0.10835429711028657
7.92,0.10849128105100754
7.930000000000001,0.10862826499172851
7.94,0.10876524893244947
7.95,0.10890223287317044
7.96,0.10903921681389141
7.97,0.10917620075461237
7.98,0.10931318469533335
7.99,0.10945016863605432
8,0.10958715257677529
8.01,0.10972413651749625
8.02,0.10986112045821722
8.03,0.10999810439893819
8.040000000000001,0.11013508833965918
8.05,0.11027207228038015
8.06,0.11040905622110112
8.07,0.11054604016182208
8.08,0.11068302410254303
8.09,0.110820008043264
8.1,0.11095699198398497
8.11,0.11109397592470593
8.120000000000001,0.11123095986542693
8.13,0.1113679438061479
8.14,0.11150492774686886
8.15,0.11164191168758983
8.16,0.1117788956283108
8.17,0.11191587956903176
8.18,0.11205286350975273
8.19,0.1121898474504737
8.2,0.11232683139119466
8.21,0.11246381533191566
8.22,0.11260079927263662
8.23,0.11273778321335759
8.24,0.11287476715407854
8.25,0.11301175109479951
8.26,0.11314873503552048
8.27,0.11328571897624144
8.28,0.11342270291696241
8.290000000000001,0.1135596868576834
8.3,0.11369667079840437
8.31,0.11383365473912534
8.32,0.1139706386798463
8.33,0.11410762262056727
8.34,0.11424460656128824
8.35,0.1143815905020092
8.36,0.11451857444273017
8.370000000000001,0.11465555838345116
8.38,0.11479254232417213
8.39,0.11492952626489308
8.4,0.11506651020561405
8.41,0.11520349414633502
8.42,0.11534047808705598
8.43,0.11547746202777695
8.44,0.11561444596849792
8.45,0.11575142990921888
8.46,0.11588841384993988
8.47,0.11602539779066084
8.48,0.11616238173138181
8.49,0.11629936567210278
8.5,0.11643634961282374
8.51,0.11657333355354471
8.52,0.11671031749426568
8.53,0.11684730143498664
8.540000000000001,0.11698428537570763
8.55,0.11712126931642859
8.56,0.11725825325714956
8.57,0.11739523719787053
8.58,0.11753222113859149
8.59,0.11766920507931246
8.6,0.11780618902003342
8.61,0.11794317296075439
8.620000000000001,0.11808015690147539
8.63,0.11821714084219635
8.64,0.11835412478291732
8.65,0.11849110872363829
8.66,0.11862809266435925
8.67,0.11876507660508022
8.68,0.11890206054580119
8.69,0.11903904448652215
8.700000000000001,0.11917602842724313
8.71,0.1193130123679641
8.72,0.11944999630868507
8.73,0.11958698024940603
8.74,0.119723964190127
8.75,0.11986094813084797
8.76,0.11999793207156893
8.77,0.1201349160122899
8.78,0.12027189995301087
8.790000000000001,0.12040888389373186
8.8,0.12054586783445283
8.81,0.1206828517751738
8.82,0.12081983571589476
8.83,0.12095681965661573
8.84,0.1210938035973367
8.85,0.12123078753805766
8.86,0.12136777147877863
8.870000000000001,0.12150475541949961
8.88,0.12164173936022057
8.89,0.12177872330094154
8.9,0.12191570724166251
8.91,0.12205269118238347
8.92,0.12218967512310444
8.93,0.12232665906382541
8.94,0.12246364300454637
8.950000000000001,0.12260062694526737
8.96,0.12273761088598834
8.97,0.1228745948267093
8.98,0.12301157876743027
8.99,0.12314856270815124
9,0.1232855466488722
9.01,0.12342253058959317
